task,h,hyp,sign_frac_mean,sign_frac_std,sign_ci_lo_mean,sign_ci_hi_mean,median_mean,med_ci_lo_mean,med_ci_hi_mean,n
RET_h1,1,H2 BTCret→ETHUSDTret (+),0.11409575770308243,0.29968636266033244,0.11101871353279892,0.11734709326068082,-0.07785143018182782,-0.07891008965037245,-0.07667277502309945,45
RET_h1,1,H2 BTCret→SOLUSDTret (+),0.08648928748333444,0.212283501850951,0.07776346092762935,0.09594216232286977,-0.07483556283017,-0.07651134599129567,-0.07323290824916007,45
RET_h12,12,H2 BTCret→ETHUSDTret (+),0.3302771140160027,0.4091369767743948,0.3152445603398662,0.3456132384606402,-0.01718032080680132,-0.019352322545989106,-0.01521288787583924,45
RET_h12,12,H2 BTCret→SOLUSDTret (+),0.07724589645986799,0.16398722197322999,0.06476110927190402,0.0893665243576559,-0.032749009960227546,-0.03502365008669181,-0.030684323746504056,45
RET_h24,24,H2 BTCret→ETHUSDTret (+),0.5310903016968561,0.4364773381957426,0.5117845640527304,0.5507939218623873,0.0020776465522228844,0.0009677256044879971,0.003193236017444481,45
RET_h24,24,H2 BTCret→SOLUSDTret (+),0.3606257435349429,0.43069536771190386,0.3461799160549059,0.37527762794593716,-0.004366212772826354,-0.004922858416102826,-0.0038279671020184955,45
RET_h4,4,H2 BTCret→ETHUSDTret (+),0.2595697890794107,0.28726733721948267,0.22959274397093626,0.28879194288315657,-0.011741996763481035,-0.013378388502686802,-0.010585689026306177,45
RET_h4,4,H2 BTCret→SOLUSDTret (+),0.7100463038277934,0.3745105466288201,0.6899174236356477,0.7301656243073847,0.008024405336214437,0.006990644000470638,0.008785228675567648,45
VOL_h1,1,H3 BTCUSDTvol→BTCUSDTvol (+),1.0,0.0,1.0,1.0,0.9176946878433228,0.9174881969889005,0.9179303261637688,45
VOL_h1,1,H3 ETHUSDTvol→ETHUSDTvol (+),1.0,0.0,1.0,1.0,0.9348959392971463,0.9347029494576984,0.9351264390349389,45
VOL_h1,1,H3 SOLUSDTvol→SOLUSDTvol (+),1.0,0.0,1.0,1.0,0.9516936620076497,0.9513230218821103,0.9519739864932166,45
VOL_h1,1,H4b BTCvol→ETHUSDTvol (+),0.676985802105243,0.4302167435428589,0.6661270394160422,0.6877656284259527,0.013699073582473728,0.013503849619171686,0.013894097707493024,45
VOL_h1,1,H4b BTCvol→SOLUSDTvol (+),0.4620860628017319,0.48937425210097135,0.45722268063869603,0.4672182011542159,-0.006432102817214198,-0.006867154897966733,-0.006141159742967122,45
VOL_h12,12,H3 BTCUSDTvol→BTCUSDTvol (+),0.999670298842557,0.0008312802110191484,0.9994441616163294,0.9998508881031339,0.49123354223039417,0.48923954251739715,0.493765760494603,45
VOL_h12,12,H3 ETHUSDTvol→ETHUSDTvol (+),1.0,0.0,1.0,1.0,0.7641583323478699,0.7633139642410808,0.7653527477052476,45
VOL_h12,12,H3 SOLUSDTvol→SOLUSDTvol (+),1.0,0.0,1.0,1.0,0.7346324920654297,0.7340514070126746,0.7351900954710113,45
VOL_h12,12,H4b BTCvol→ETHUSDTvol (+),0.16677783136476695,0.33266003262186394,0.1557170635921771,0.17833865161000453,-0.05928899024923642,-0.06128360201915105,-0.05696780145582225,45
VOL_h12,12,H4b BTCvol→SOLUSDTvol (+),0.6752093926246833,0.4647567984063056,0.6714515712515495,0.678953699855347,-0.015335906271098388,-0.016090444686900202,-0.01474307802402311,45
VOL_h24,24,H3 BTCUSDTvol→BTCUSDTvol (+),1.0,0.0,1.0,1.0,0.22343685858779483,0.22167510221401848,0.22581138796276518,45
VOL_h24,24,H3 ETHUSDTvol→ETHUSDTvol (+),1.0,0.0,1.0,1.0,0.5629998505115509,0.5600834228263961,0.566638689223263,45
VOL_h24,24,H3 SOLUSDTvol→SOLUSDTvol (+),1.0,0.0,1.0,1.0,0.5443065245946248,0.5429089455306529,0.5454467436671256,45
VOL_h24,24,H4b BTCvol→ETHUSDTvol (+),0.6911345173266478,0.434977322768347,0.6830164436969851,0.6991560710628548,-0.0002285266967697276,-0.0010232446249574423,0.0003973668452817941,45
VOL_h24,24,H4b BTCvol→SOLUSDTvol (+),0.8717458753011564,0.33084685401934044,0.8696711119289812,0.8736656649491396,0.002142811025906768,0.0014784770590874053,0.002428945314604789,45
VOL_h4,4,H3 BTCUSDTvol→BTCUSDTvol (+),1.0,0.0,1.0,1.0,0.8190161347389221,0.8184236659606298,0.8195823224716716,45
VOL_h4,4,H3 ETHUSDTvol→ETHUSDTvol (+),1.0,0.0,1.0,1.0,0.8878127879566616,0.8876063721047507,0.8881661335296102,45
VOL_h4,4,H3 SOLUSDTvol→SOLUSDTvol (+),1.0,0.0,1.0,1.0,0.8964427219496833,0.8959890498055352,0.896854437854555,45
VOL_h4,4,H4b BTCvol→ETHUSDTvol (+),0.37978633740167844,0.4405275925244987,0.36603495436673783,0.39354389316964766,-0.003877217157019509,-0.004350315408988131,-0.003489334372182687,45
VOL_h4,4,H4b BTCvol→SOLUSDTvol (+),0.5384532708008467,0.4982773740877334,0.53539972990894,0.5421824146368881,-0.00903135547414422,-0.009485347804923853,-0.008764620510757798,45
